recordType,section,command_id,label,path,description,phrasesKeywords,actionType,stateKey,setValue
route,personal,settings.email_calendar,Email and calendar accounts,/settings/email-calendar,"Connect and manage email and calendar integrations.","open email and calendar settings, manage email accounts, connect calendar, email integrations, calendar accounts, email and calendar, email settings, connect email, manage integrations",navigate,null,null
section,personal,settings.email_calendar.connected_accounts,Connected accounts,/settings/email-calendar,"Manage connected email and calendar accounts.","connected accounts, email accounts, calendar accounts, manage integrations, connected services, linked accounts, email providers, connected email",focus,null,null
toggle,personal,settings.email_calendar.google.enable,Enable Google account,/settings/email-calendar,"Enable sync with Google email and calendar.","enable google, turn on google sync, connect google, activate google account, enable google integration, turn on google account, sync google",toggle,emailCalendar.google,true
toggle,personal,settings.email_calendar.google.disable,Disable Google account,/settings/email-calendar,"Disable sync with Google email and calendar.","disable google, turn off google sync, disconnect google, deactivate google account, disable google integration, turn off google account, stop google sync",toggle,emailCalendar.google,false
toggle,personal,settings.email_calendar.microsoft.enable,Enable Microsoft Outlook account,/settings/email-calendar,"Enable sync with Microsoft Outlook email and calendar.","enable microsoft, turn on outlook sync, connect outlook, activate microsoft account, enable outlook integration, turn on outlook, sync outlook",toggle,emailCalendar.microsoft,true
toggle,personal,settings.email_calendar.microsoft.disable,Disable Microsoft Outlook account,/settings/email-calendar,"Disable sync with Microsoft Outlook email and calendar.","disable microsoft, turn off outlook sync, disconnect outlook, deactivate microsoft account, disable outlook integration, turn off outlook, stop outlook sync",toggle,emailCalendar.microsoft,false
toggle,personal,settings.email_calendar.apple.enable,Enable Apple iCloud account,/settings/email-calendar,"Enable sync with Apple iCloud email and calendar.","enable apple, turn on icloud sync, connect icloud, activate apple account, enable icloud integration, turn on icloud, sync icloud",toggle,emailCalendar.apple,true
toggle,personal,settings.email_calendar.apple.disable,Disable Apple iCloud account,/settings/email-calendar,"Disable sync with Apple iCloud email and calendar.","disable apple, turn off icloud sync, disconnect icloud, deactivate apple account, disable icloud integration, turn off icloud, stop icloud sync",toggle,emailCalendar.apple,false
action,personal,settings.email_calendar.remove_google,Remove Google account,/settings/email-calendar,"Remove the connected Google account completely.","remove google account, delete google account, unlink google, disconnect google account, remove google integration, delete google connection",destructive,emailCalendar.google,null
action,personal,settings.email_calendar.remove_microsoft,Remove Microsoft account,/settings/email-calendar,"Remove the connected Microsoft Outlook account completely.","remove microsoft account, delete outlook account, unlink microsoft, disconnect outlook account, remove microsoft integration, delete outlook connection",destructive,emailCalendar.microsoft,null
action,personal,settings.email_calendar.remove_apple,Remove Apple account,/settings/email-calendar,"Remove the connected Apple iCloud account completely.","remove apple account, delete icloud account, unlink apple, disconnect icloud account, remove apple integration, delete icloud connection",destructive,emailCalendar.apple,null
action,personal,settings.email_calendar.add_account,Add account,/settings/email-calendar,"Connect a new email or calendar account.","add account, connect new account, link new email, add email account, connect calendar, add new integration, add email provider, add another account",open,null,null
route,personal,settings.call_intelligence,Call intelligence,/settings/call-intelligence,"Configure call transcription, summaries, and AI coaching insights.","open call intelligence, call settings, transcription settings, configure call features, call intelligence settings, call recording settings, manage call insights, call analysis",navigate,null,null
section,personal,settings.call_intelligence.transcription,Transcription,/settings/call-intelligence,"Configure automatic call transcription and summary settings.","transcription settings, call transcription, automatic transcription, configure transcription, speech to text, transcribe calls, call transcripts",focus,null,null
toggle,personal,settings.call_intelligence.transcription.enable,Enable call transcription,/settings/call-intelligence,"Enable automatic transcription of all calls.","enable transcription, turn on call transcription, transcribe calls, enable call transcription, start transcribing calls, automatically transcribe",toggle,transcription,true
toggle,personal,settings.call_intelligence.transcription.disable,Disable call transcription,/settings/call-intelligence,"Disable automatic transcription of calls.","disable transcription, turn off call transcription, stop transcribing calls, disable call transcription, turn off transcription, stop auto transcribe",toggle,transcription,false
select,personal,settings.call_intelligence.transcription_language,Transcription language,/settings/call-intelligence,"Set the language used for speech recognition during transcription.","change transcription language, set transcription language, pick language for transcription, choose transcription language, transcription speech language, transcription english german spanish french",focus,transcriptionLanguage,null
select,personal,settings.call_intelligence.summary_length,Default summary length,/settings/call-intelligence,"Choose the default format for call summaries: short paragraph, bullet points, or detailed recap.","change summary length, set summary format, choose summary style, pick summary length, short summary, bullet points, detailed recap, summary type",focus,summaryLength,null
section,personal,settings.call_intelligence.coaching,Coaching insights,/settings/call-intelligence,"Configure AI-powered coaching insights for calls.","coaching insights, call coaching, AI coaching, conversation insights, coaching settings, call analysis, AI call feedback",focus,null,null
toggle,personal,settings.call_intelligence.coaching.enable,Enable coaching insights,/settings/call-intelligence,"Enable AI-powered coaching insights and suggestions for calls.","enable coaching, turn on coaching insights, activate coaching, get call coaching, enable AI coaching, turn on call insights, get AI feedback",toggle,coaching,true
toggle,personal,settings.call_intelligence.coaching.disable,Disable coaching insights,/settings/call-intelligence,"Disable AI-powered coaching insights for calls.","disable coaching, turn off coaching insights, deactivate coaching, stop call coaching, disable AI coaching, turn off call insights, stop AI feedback",toggle,coaching,false
select,personal,settings.call_intelligence.transcript_retention,Keep transcripts for,/settings/call-intelligence,"Set how long call transcripts are retained before deletion.","change transcript retention, set transcript retention, keep transcripts for, how long to keep transcripts, transcript storage duration, retention period, transcript expiry, delete transcripts after",focus,transcriptRetention,null
route,personal,settings.storage,Storage accounts,/settings/storage,"Link and manage cloud storage providers like Google Drive, Dropbox, and OneDrive.","open storage settings, manage storage, cloud storage, connected storage, storage accounts, file storage, manage file attachments, storage providers",navigate,null,null
section,personal,settings.storage.overview,Storage overview,/settings/storage,"View workspace storage usage and connected storage providers.","storage usage, storage overview, how much storage, workspace storage, storage capacity, storage space, used storage, storage limit",focus,null,null
toggle,personal,settings.storage.google_drive.enable,Enable Google Drive,/settings/storage,"Enable the Google Drive storage integration.","enable google drive, turn on google drive, connect google drive, activate google drive sync, use google drive, link google drive",toggle,storage.googleDrive,true
toggle,personal,settings.storage.google_drive.disable,Disable Google Drive,/settings/storage,"Disable the Google Drive storage integration.","disable google drive, turn off google drive, disconnect google drive, deactivate google drive, stop using google drive, unlink google drive",toggle,storage.googleDrive,false
toggle,personal,settings.storage.dropbox.enable,Enable Dropbox,/settings/storage,"Enable the Dropbox storage integration.","enable dropbox, turn on dropbox, connect dropbox, activate dropbox sync, use dropbox, link dropbox",toggle,storage.dropbox,true
toggle,personal,settings.storage.dropbox.disable,Disable Dropbox,/settings/storage,"Disable the Dropbox storage integration.","disable dropbox, turn off dropbox, disconnect dropbox, deactivate dropbox, stop using dropbox, unlink dropbox",toggle,storage.dropbox,false
toggle,personal,settings.storage.onedrive.enable,Enable OneDrive,/settings/storage,"Enable the OneDrive storage integration.","enable onedrive, turn on onedrive, connect onedrive, activate onedrive sync, use onedrive, link onedrive",toggle,storage.onedrive,true
toggle,personal,settings.storage.onedrive.disable,Disable OneDrive,/settings/storage,"Disable the OneDrive storage integration.","disable onedrive, turn off onedrive, disconnect onedrive, deactivate onedrive, stop using onedrive, unlink onedrive",toggle,storage.onedrive,false
action,personal,settings.storage.configure_google_drive,Configure Google Drive,/settings/storage,"Configure the Google Drive storage integration settings.","configure google drive, google drive settings, manage google drive, google drive options, setup google drive, google drive config",open,storage.googleDrive,null
action,personal,settings.storage.configure_dropbox,Configure Dropbox,/settings/storage,"Configure the Dropbox storage integration settings.","configure dropbox, dropbox settings, manage dropbox, dropbox options, setup dropbox, dropbox config",open,storage.dropbox,null
action,personal,settings.storage.configure_onedrive,Configure OneDrive,/settings/storage,"Configure the OneDrive storage integration settings.","configure onedrive, onedrive settings, manage onedrive, onedrive options, setup onedrive, onedrive config",open,storage.onedrive,null
action,personal,settings.storage.add_storage,Add storage,/settings/storage,"Connect a new cloud storage provider.","add storage, connect storage, link storage provider, add cloud storage, add new storage, connect new storage, add another provider",open,null,null
route,personal,settings.refer,Refer another team,/settings/refer,"Invite other teams and earn workspace credits through referrals.","open refer settings, refer a team, invite teams, referral settings, earn credits, refer another team, referral program, invite other teams, referral rewards",navigate,null,null
section,personal,settings.refer.invite,Referral invite,/settings/refer,"Send a referral invitation to another team.","referral invite, invite team, send referral, refer a team, invite another team, send invitation, refer someone",focus,null,null
field,personal,settings.refer.email_address,Email address,/settings/refer,"Enter the email address of the team you want to refer.","referral email, enter referral email, send invite to email, refer by email, team email address, invite email, referral email address",focus,referralEmail,null
action,personal,settings.refer.send_invite,Send invite,/settings/refer,"Send a referral invitation to the entered email address.","send invite, send referral, send invitation, refer team, invite team, submit referral, send invite now",submit,null,null
section,personal,settings.refer.referral_link,Referral link,/settings/refer,"Share your unique referral link with other teams to earn credits.","referral link, share referral link, copy referral link, get referral link, referral URL, share link, your referral link",focus,null,null
action,personal,settings.refer.copy_link,Copy link,/settings/refer,"Copy your unique referral link to the clipboard.","copy referral link, copy link to clipboard, copy invite link, get referral link, copy share link, copy referral URL",submit,referralLink,null
section,personal,settings.refer.stats,Referral stats,/settings/refer,"View your successful referrals and credits earned.","referral stats, referral statistics, how many referrals, credits earned, referral rewards, referral earnings, referral performance",focus,null,null
route,personal,settings.notifications,Notifications,/settings/notifications,"Configure notification delivery channels, digest preferences, and quiet hours.","open notifications, notification settings, manage notifications, change notification preferences, notification preferences, configure alerts, adjust notifications, alert settings",navigate,null,null
section,personal,settings.notifications.channels,Notification channels,/settings/notifications,"Manage how you receive notifications across different channels.","notification channels, delivery channels, how I get notifications, email push slack, notification delivery, channel settings, notification methods",focus,null,null
toggle,personal,settings.notifications.email.enable,Enable email notifications,/settings/notifications,"Turn on email notifications for workspace activity.","enable email notifications, turn on email notifications, get email alerts, receive emails, subscribe to email notifications, get notified by email, allow email notifications",toggle,emailNotifications,true
toggle,personal,settings.notifications.email.disable,Disable email notifications,/settings/notifications,"Turn off email notifications for workspace activity.","disable email notifications, turn off email notifications, stop email alerts, unsubscribe from emails, stop email notifications, do not email me, mute email notifications",toggle,emailNotifications,false
toggle,personal,settings.notifications.push.enable,Enable push notifications,/settings/notifications,"Turn on push notifications for workspace activity.","enable push notifications, turn on push notifications, get push alerts, receive push notifications, allow push, enable mobile notifications, get notified on phone",toggle,pushNotifications,true
toggle,personal,settings.notifications.push.disable,Disable push notifications,/settings/notifications,"Turn off push notifications for workspace activity.","disable push notifications, turn off push notifications, stop push alerts, disable push, turn off mobile notifications, stop push notifications, mute push",toggle,pushNotifications,false
toggle,personal,settings.notifications.slack.enable,Enable Slack notifications,/settings/notifications,"Turn on Slack notifications for workspace activity.","enable slack notifications, turn on slack notifications, get slack alerts, receive slack messages, connect slack, enable slack integration, get notified in slack",toggle,slackNotifications,true
toggle,personal,settings.notifications.slack.disable,Disable Slack notifications,/settings/notifications,"Turn off Slack notifications for workspace activity.","disable slack notifications, turn off slack notifications, stop slack alerts, disconnect slack, disable slack integration, stop slack messages, mute slack",toggle,slackNotifications,false
section,personal,settings.notifications.digest,Digest,/settings/notifications,"Configure the daily notification digest and its frequency.","digest settings, daily digest, notification summary, email digest, configure digest, digest frequency, summary email",focus,null,null
toggle,personal,settings.notifications.digest.enable,Enable daily digest,/settings/notifications,"Send a daily digest summarizing missed notifications.","enable daily digest, turn on digest, get daily summary, receive digest email, subscribe to digest, get daily recap",toggle,digest,true
toggle,personal,settings.notifications.digest.disable,Disable daily digest,/settings/notifications,"Stop receiving the daily notification digest.","disable daily digest, turn off digest, stop daily summary, unsubscribe from digest, stop digest email, disable daily recap",toggle,digest,false
select,personal,settings.notifications.digest_frequency,Digest frequency,/settings/notifications,"Choose how often to receive the notification digest: daily, weekly, or never.","change digest frequency, set digest frequency, how often to get digest, daily weekly never, digest schedule, notification frequency, how often digest",focus,digestFrequency,null
section,personal,settings.notifications.quiet_hours,Quiet hours,/settings/notifications,"Configure quiet hours to suppress notifications during a set time window.","quiet hours, do not disturb, silence notifications, quiet time, off hours, suppress notifications, focus time, no notifications",focus,null,null
toggle,personal,settings.notifications.quiet_hours.enable,Enable quiet hours,/settings/notifications,"Turn on quiet hours to suppress notifications during set times.","enable quiet hours, turn on quiet hours, activate do not disturb, silence during times, enable dnd, turn on quiet mode, start quiet hours",toggle,quietHours,true
toggle,personal,settings.notifications.quiet_hours.disable,Disable quiet hours,/settings/notifications,"Turn off quiet hours and resume normal notification delivery.","disable quiet hours, turn off quiet hours, deactivate do not disturb, stop quiet hours, disable dnd, turn off quiet mode, end quiet hours",toggle,quietHours,false
field,personal,settings.notifications.quiet_hours_from,Quiet hours from,/settings/notifications,"Set the start time for quiet hours.","quiet hours start, quiet hours begin, set quiet hours from, when do quiet hours start, start time for quiet hours, quiet hours from time, begin quiet hours at",focus,quietHoursFrom,null
field,personal,settings.notifications.quiet_hours_to,Quiet hours to,/settings/notifications,"Set the end time for quiet hours.","quiet hours end, quiet hours finish, set quiet hours to, when do quiet hours end, end time for quiet hours, quiet hours to time, quiet hours until",focus,quietHoursTo,null
route,personal,settings.sessions,Sessions,/settings/sessions,"Review active sessions and sign out of devices remotely.","open sessions, manage sessions, active sessions, review sessions, session settings, device sessions, where am I logged in, see active sessions, my devices",navigate,null,null
section,personal,settings.sessions.active_sessions,Active sessions,/settings/sessions,"View all active devices and sessions currently signed into your account.","active sessions, active devices, logged in devices, my sessions, current sessions, device list, where I am logged in, signed in devices",focus,null,null
action,personal,settings.sessions.revoke_chrome,Revoke Chrome on macOS,/settings/sessions,"Sign out of the active Chrome session on macOS.","revoke chrome session, sign out chrome, end chrome session, remove chrome device, log out chrome, terminate chrome session, kill chrome session",destructive,sessions.chrome,null
action,personal,settings.sessions.revoke_safari,Revoke Safari on iPhone,/settings/sessions,"Sign out of the active Safari session on iPhone.","revoke safari session, sign out safari, end safari session, remove iphone device, log out iphone, terminate safari session, kill safari session",destructive,sessions.safari,null
action,personal,settings.sessions.revoke_firefox,Revoke Firefox on Windows,/settings/sessions,"Sign out of the active Firefox session on Windows.","revoke firefox session, sign out firefox, end firefox session, remove windows device, log out windows, terminate firefox session, kill firefox session",destructive,sessions.firefox,null
destructive_action,personal,settings.sessions.log_out_all,Log out all devices,/settings/sessions,"Sign out of all active sessions across every device.","log out all devices, sign out everywhere, end all sessions, force logout all, revoke all sessions, sign out of all devices, logout everywhere, terminate all sessions",destructive,null,null
route,workspace,settings.general,General,/settings/general,"Manage workspace name, timezone, default language, and week start settings.","open general settings, workspace settings, general settings, manage workspace, workspace name, change timezone, workspace defaults, configure workspace",navigate,null,null
section,workspace,settings.general.workspace,Workspace,/settings/general,"Configure workspace name, timezone, language, and week start preferences.","workspace settings, workspace name, workspace timezone, workspace language, workspace defaults, general workspace config, workspace info",focus,null,null
field,workspace,settings.general.workspace_name,Workspace name,/settings/general,"Change the name of your workspace.","change workspace name, rename workspace, edit workspace name, update workspace name, set workspace name, workspace title, rename my workspace",focus,workspaceName,null
select,workspace,settings.general.timezone,Timezone,/settings/general,"Set the timezone used across the workspace.","change timezone, set timezone, pick timezone, update timezone, workspace timezone, change time zone, select time zone, time zone",focus,timezone,null
select,workspace,settings.general.default_language,Default language,/settings/general,"Set the default language for the workspace interface.","change default language, set language, pick workspace language, update language, default interface language, workspace language, switch language",focus,defaultLanguage,null
select,workspace,settings.general.week_start,Week starts on,/settings/general,"Choose whether the week starts on Monday or Sunday.","change week start, set week start day, monday or sunday, first day of week, week start day, calendar week start, change first day of week, week begins on",focus,weekStart,null
action,workspace,settings.general.save,Save changes,/settings/general,"Save all pending workspace configuration changes.","save changes, save workspace settings, apply changes, confirm changes, save general settings, update workspace, save workspace config",submit,null,null
route,workspace,settings.call_recorder,Call recorder,/settings/call-recorder,"Manage your call recorder name, branding style, and live preview.","open call recorder, call recorder settings, recorder settings, manage recorder, change recorder name, recorder style, call recorder preview, recorder branding",navigate,null,null
field,workspace,settings.call_recorder.name,Recorder name,/settings/call-recorder,"Change the display name of the call recorder.","change recorder name, rename recorder, set recorder name, update recorder name, call recorder name, recorder display name, name the recorder",focus,recorderName,null
select,workspace,settings.call_recorder.style,Style,/settings/call-recorder,"Choose the visual branding style of the call recorder.","change recorder style, set recorder style, pick recorder appearance, recorder theme, default workspace minimal none, recorder branding, choose style, recorder look",focus,recorderStyle,null
route,workspace,settings.members,Members,/settings/members,"Invite teammates, manage roles, and set permissions for workspace members.","open members, manage members, team members, workspace members, member settings, invite team members, manage teammates, member management, people",navigate,null,null
section,workspace,settings.members.team_members,Team members,/settings/members,"View and manage all workspace members and their assigned roles.","team members, workspace members, member list, see all members, manage people, teammate management, people in workspace, member directory",focus,null,null
action,workspace,settings.members.change_role_jane,Change role for Jane Doe,/settings/members,"Change the role and permissions of Jane Doe in the workspace.","change jane role, modify jane permissions, update jane access level, set jane role, change member role, jane doe role change, update jane role",open,members.janeDoe.role,null
action,workspace,settings.members.change_role_john,Change role for John Smith,/settings/members,"Change the role and permissions of John Smith in the workspace.","change john role, modify john permissions, update john access level, set john role, john smith role change, update john role",open,members.johnSmith.role,null
action,workspace,settings.members.change_role_alice,Change role for Alice Wong,/settings/members,"Change the role and permissions of Alice Wong in the workspace.","change alice role, modify alice permissions, update alice access level, set alice role, alice wong role change, update alice role",open,members.aliceWong.role,null
destructive_action,workspace,settings.members.remove_jane,Remove Jane Doe,/settings/members,"Remove Jane Doe from the workspace permanently.","remove jane, delete jane doe, kick jane, remove member jane, jane doe remove from workspace, revoke jane access, remove jane from workspace",destructive,members.janeDoe,null
destructive_action,workspace,settings.members.remove_john,Remove John Smith,/settings/members,"Remove John Smith from the workspace permanently.","remove john, delete john smith, kick john, remove member john, john smith remove from workspace, revoke john access, remove john from workspace",destructive,members.johnSmith,null
destructive_action,workspace,settings.members.remove_alice,Remove Alice Wong,/settings/members,"Remove Alice Wong from the workspace permanently.","remove alice, delete alice wong, kick alice, remove member alice, alice wong remove from workspace, revoke alice access, remove alice from workspace",destructive,members.aliceWong,null
action,workspace,settings.members.invite,Invite member,/settings/members,"Invite a new person to join the workspace as a member.","invite member, add member, invite teammate, add teammate, invite someone, invite new person, add person to workspace, invite a team member, add team member",open,null,null
route,workspace,settings.plans,Plans,/settings/plans,"Compare available plans, upgrade your subscription, or change billing frequency.","open plans, pricing plans, compare plans, upgrade plan, change plan, subscription plans, billing plans, view plans, see plans, plan options",navigate,null,null
section,workspace,settings.plans.current_plan,Current plan,/settings/plans,"View your current subscription plan details, renewal date, and seat usage.","current plan, my plan, current subscription, plan details, renewal date, seat usage, what plan am I on, my subscription",focus,null,null
destructive_action,workspace,settings.plans.downgrade_starter,Downgrade to Starter,/settings/plans,"Downgrade your subscription to the free Starter plan.","downgrade to starter, switch to free plan, downgrade plan, go to starter, use free plan, downgrade subscription, move to free plan",destructive,null,null
action,workspace,settings.plans.contact_enterprise,Contact sales for Enterprise,/settings/plans,"Contact the sales team to inquire about the Enterprise plan.","contact sales, enterprise plan, talk to sales, enterprise pricing, custom pricing, sales inquiry, request enterprise quote, enterprise",open,null,null
route,workspace,settings.billing,Billing,/settings/billing,"Update your payment method, billing email, billing address, and download invoices.","open billing, billing settings, manage billing, payment settings, view invoices, billing information, payment method, update billing, billing page",navigate,null,null
section,workspace,settings.billing.payment_method,Payment method,/settings/billing,"View and update the credit card payment method on file.","payment method, credit card, update card, change payment, payment info, card details, billing payment, payment on file",focus,null,null
action,workspace,settings.billing.update_card,Update card,/settings/billing,"Update or change the credit card used for billing.","update card, change card, change credit card, update payment method, add new card, replace card, update billing card, change payment card",open,null,null
field,workspace,settings.billing.email,Billing email,/settings/billing,"Change the email address used for billing correspondence and invoices.","change billing email, update billing email, billing email address, invoice email, change billing contact email, set billing email, billing contact",focus,billingEmail,null
field,workspace,settings.billing.address,Billing address,/settings/billing,"Update the billing address used on invoices.","change billing address, update billing address, edit billing address, invoice address, change invoice address, billing street address, update billing location, billing street",focus,billingAddress,null
section,workspace,settings.billing.invoices,Invoices,/settings/billing,"View and download past invoices for your subscription.","invoices, download invoices, past invoices, billing history, invoice history, payment history, view invoices, billing records, my invoices",focus,null,null
action,workspace,settings.billing.download_invoice_001,Download INV-001,/settings/billing,"Download the invoice INV-001 from November.","download invoice INV-001, get invoice INV-001, download November invoice, INV-001 PDF, first invoice, download billing receipt",submit,billing.invoices.INV001,null
action,workspace,settings.billing.download_invoice_002,Download INV-002,/settings/billing,"Download the invoice INV-002 from October.","download invoice INV-002, get invoice INV-002, download October invoice, INV-002 PDF, second invoice, download billing receipt",submit,billing.invoices.INV002,null
destructive_action,workspace,settings.billing.cancel_subscription,Cancel subscription,/settings/billing,"Cancel the workspace subscription and end billing.","cancel subscription, cancel plan, end subscription, stop billing, unsubscribe, cancel workspace, terminate subscription, delete subscription, cancel my plan",destructive,null,null
route,workspace,settings.developers,Developers,/settings/developers,"Manage API keys, webhooks, and developer integration settings.","open developers, developer settings, API settings, manage API keys, webhook settings, developer options, integrations, API management, dev settings",navigate,null,null
section,workspace,settings.developers.api_keys,API keys,/settings/developers,"Create, copy, rotate, and revoke API keys for programmatic access.","API keys, manage API keys, API key management, create API key, rotate API key, revoke API key, API access keys, developer API keys, API tokens",focus,null,null
action,workspace,settings.developers.create_key,Create key,/settings/developers,"Generate a new API key for programmatic access.","create API key, generate API key, add API key, new API key, create developer key, generate new key, make API key, create new API key",open,null,null
action,workspace,settings.developers.copy_production_key,Copy Production API key,/settings/developers,"Copy the Production API key to the clipboard.","copy production key, copy production API key, get production API key, API key copy, production key clipboard, copy API key production",submit,apiKeys.production,null
action,workspace,settings.developers.copy_staging_key,Copy Staging API key,/settings/developers,"Copy the Staging API key to the clipboard.","copy staging key, copy staging API key, get staging API key, staging key clipboard, copy staging token, copy API key staging",submit,apiKeys.staging,null
action,workspace,settings.developers.rotate_production_key,Rotate Production API key,/settings/developers,"Regenerate and replace the Production API key.","rotate production key, regenerate production key, replace production API key, reset production key, renew production API key, new production key",open,apiKeys.production,null
action,workspace,settings.developers.rotate_staging_key,Rotate Staging API key,/settings/developers,"Regenerate and replace the Staging API key.","rotate staging key, regenerate staging key, replace staging API key, reset staging key, renew staging API key, new staging key",open,apiKeys.staging,null
destructive_action,workspace,settings.developers.revoke_production_key,Revoke Production API key,/settings/developers,"Revoke the Production API key and disable it immediately.","revoke production key, delete production API key, remove production key, invalidate production key, deactivate production API key, disable production key",destructive,apiKeys.production,null
destructive_action,workspace,settings.developers.revoke_staging_key,Revoke Staging API key,/settings/developers,"Revoke the Staging API key and disable it immediately.","revoke staging key, delete staging API key, remove staging key, invalidate staging key, deactivate staging API key, disable staging key",destructive,apiKeys.staging,null
section,workspace,settings.developers.webhooks,Webhooks,/settings/developers,"Configure webhook endpoints, URL, and event subscriptions.","webhooks, webhook settings, configure webhooks, webhook URL, webhook events, webhook integration, manage webhooks, webhook configuration",focus,null,null
toggle,workspace,settings.developers.webhooks.enable,Enable webhooks,/settings/developers,"Enable webhook delivery for workspace events.","enable webhooks, turn on webhooks, activate webhooks, start webhook delivery, enable webhook integration, turn on webhook forwarding",toggle,webhooks,true
toggle,workspace,settings.developers.webhooks.disable,Disable webhooks,/settings/developers,"Disable webhook delivery for workspace events.","disable webhooks, turn off webhooks, deactivate webhooks, stop webhook delivery, disable webhook integration, turn off webhook forwarding",toggle,webhooks,false
field,workspace,settings.developers.webhook_url,Webhook URL,/settings/developers,"Set the URL where webhook events are delivered.","change webhook URL, set webhook URL, update webhook URL, webhook endpoint, webhook destination, webhook address, configure webhook URL, webhook target",focus,webhookUrl,null
select,workspace,settings.developers.webhook_events,Webhook events,/settings/developers,"Choose which events trigger webhook delivery: all events, record changes, or user events.","change webhook events, set webhook events, pick webhook triggers, choose webhook events, all events record changes user events, webhook event types, select webhook events",focus,webhookEvents,null
action,workspace,settings.developers.save,Save,/settings/developers,"Save webhook configuration changes.","save webhooks, save webhook settings, apply webhook changes, confirm webhook config, save developer settings, save webhook config",submit,null,null
route,workspace,settings.security,Security,/settings/security,"Set up SSO, enforce MFA, configure password policy, and review audit logs.","open security, security settings, security configuration, authentication settings, SSO settings, MFA settings, audit logs, security management, secure workspace",navigate,null,null
section,workspace,settings.security.authentication,Authentication,/settings/security,"Configure SSO, MFA requirements, and password policy for the workspace.","authentication settings, SSO, MFA, password policy, login security, auth settings, sign in security, access control, login settings",focus,null,null
toggle,workspace,settings.security.sso.enable,Enable SSO,/settings/security,"Enable single sign-on authentication for the workspace.","enable SSO, turn on SSO, activate single sign-on, set up SSO, configure SSO, enable single sign on, use SSO login, enable SAML",toggle,sso,true
toggle,workspace,settings.security.sso.disable,Disable SSO,/settings/security,"Disable single sign-on authentication for the workspace.","disable SSO, turn off SSO, deactivate single sign-on, remove SSO, stop using SSO, disable single sign on, remove SAML",toggle,sso,false
toggle,workspace,settings.security.mfa.enable,Require MFA for all members,/settings/security,"Require multi-factor authentication for all workspace members.","enable MFA, require MFA, enforce MFA, turn on MFA, require two factor, enable two factor auth, enforce multi factor, require 2FA",toggle,mfa,true
